pdf,N,N_doi,N_arxiv
0805.2418v1.pdf,33,0,4
1205.0032.pdf,22,0,0
1512.00069.pdf,15,0,8
1611.00062.pdf,19,0,0
1707.07617.pdf,65,2,0
1707.08543.pdf,77,0,0
1707.09818.pdf,32,0,0
1708.01127.pdf,16,0,10
1708.02068.pdf,15,0,3
1708.02423.pdf,27,21,0
1708.02622.pdf,20,0,1
1708.02728.pdf,42,0,4
1708.02729.pdf,44,20,1
1708.02984.pdf,15,0,0
0103003.pdf
0107002.pdf
0204008.pdf
0208002.pdf
0208011.pdf
9205013.pdf
9207245.pdf
9211010.pdf
9303202.pdf
9303209.pdf
9308214.pdf
9308222.pdf
9404012.pdf
9409001.pdf
9701005.pdf
9703202.pdf
9703219.pdf
9706202.pdf
9706213.pdf
9711008.pdf
9810006.pdf
